"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 04 01:50:15 BST 2020","Mon May 04 01:50:15 BST 2020","19","","blaze page elements handle on the page","","blaze page elements handle on the page","main heading displyed in view port? ","main heading displyed in view port? ",""
"broken","Mon May 04 01:49:43 BST 2020","Mon May 04 01:49:56 BST 2020","13792","","page actions Features","","page actions Features","move to element","move to element",""
"failed","Mon May 04 01:50:27 BST 2020","Mon May 04 01:50:28 BST 2020","942","","handling checkboxes","","handling checkboxes","check page url","check page url",""
"passed","Mon May 04 01:50:15 BST 2020","Mon May 04 01:50:15 BST 2020","30","","blaze page elements handle on the page","","blaze page elements handle on the page","main heading displayed? ","main heading displayed? ",""
"passed","Mon May 04 01:51:52 BST 2020","Mon May 04 01:51:55 BST 2020","3222","","wait for enabled case","","wait for enabled case","should wait for button to be disabled","should wait for button to be disabled",""
"skipped","Mon May 04 01:51:49 BST 2020","Mon May 04 01:51:49 BST 2020","0","","handle application login","","handle application login","should clear username value","should clear username value",""
"skipped","Mon May 04 01:51:49 BST 2020","Mon May 04 01:51:49 BST 2020","0","","handle application login","","handle application login","move to element","move to element",""
"passed","Mon May 04 01:50:01 BST 2020","Mon May 04 01:50:04 BST 2020","3323","","page actions Features","","page actions Features","KEYS action perform Shift","KEYS action perform Shift",""
"skipped","Mon May 04 01:51:50 BST 2020","Mon May 04 01:51:50 BST 2020","0","","scroll to element","","scroll to element","should scroll to forgot pwd link","should scroll to forgot pwd link",""
"skipped","Mon May 04 01:51:09 BST 2020","Mon May 04 01:51:09 BST 2020","0","","drop down handling","","drop down handling","select drop down value by attribute value","select drop down value by attribute value",""
"skipped","Mon May 04 01:51:09 BST 2020","Mon May 04 01:51:09 BST 2020","0","","drop down handling","","drop down handling","select drop down value by text","select drop down value by text",""
"passed","Mon May 04 01:51:56 BST 2020","Mon May 04 01:52:00 BST 2020","4213","","wait for delete button using waitFotExist","","wait for delete button using waitFotExist","should wait for delete button","should wait for delete button",""
"broken","Mon May 04 01:51:39 BST 2020","Mon May 04 01:51:49 BST 2020","10031","","handle application login","","handle application login","click login button","click login button",""
"broken","Mon May 04 01:50:49 BST 2020","Mon May 04 01:51:00 BST 2020","10362","","handling checkboxes","","handling checkboxes","check checkbox page url","check checkbox page url",""
"passed","Mon May 04 01:50:15 BST 2020","Mon May 04 01:50:15 BST 2020","22","","blaze page elements handle on the page","","blaze page elements handle on the page","main heading exists? ","main heading exists? ",""
"skipped","Mon May 04 01:51:52 BST 2020","Mon May 04 01:51:52 BST 2020","0","","wait for enabled case","","wait for enabled case","should wait for button to be enabled","should wait for button to be enabled",""
"broken","Mon May 04 01:51:29 BST 2020","Mon May 04 01:51:39 BST 2020","10027","","handle application login","","handle application login","enter password","enter password",""
"passed","Mon May 04 01:49:56 BST 2020","Mon May 04 01:50:01 BST 2020","4273","","page actions Features","","page actions Features","KEYS action perform Tab","KEYS action perform Tab",""
"passed","Mon May 04 01:50:15 BST 2020","Mon May 04 01:50:15 BST 2020","36","","blaze page elements handle on the page","","blaze page elements handle on the page","jmeter is displeyd in view port ","jmeter is displeyd in view port ",""
"broken","Mon May 04 01:50:28 BST 2020","Mon May 04 01:50:39 BST 2020","10946","","handling checkboxes","","handling checkboxes","should click checkbox","should click checkbox",""
"skipped","Mon May 04 01:51:09 BST 2020","Mon May 04 01:51:09 BST 2020","0","","drop down handling","","drop down handling","select drop down value by index","select drop down value by index",""
"broken","Mon May 04 01:50:15 BST 2020","Mon May 04 01:50:25 BST 2020","10022","","blaze page elements handle on the page","","blaze page elements handle on the page","click on product link if displayed ","click on product link if displayed ",""
"passed","Mon May 04 01:51:01 BST 2020","Mon May 04 01:51:07 BST 2020","5957","","drag and drop actions feature","","drag and drop actions feature","do drag and drop","do drag and drop",""
"broken","Mon May 04 01:52:18 BST 2020","Mon May 04 01:52:37 BST 2020","18469","","wait until sync for the elements","","wait until sync for the elements","wait for home page","wait for home page",""
"broken","Mon May 04 01:51:18 BST 2020","Mon May 04 01:51:29 BST 2020","10603","","handle application login","","handle application login","enter username","enter username",""
"passed","Mon May 04 01:50:14 BST 2020","Mon May 04 01:50:15 BST 2020","1729","","blaze page elements handle on the page","","blaze page elements handle on the page","get texts of all main links","get texts of all main links",""
"broken","Thu Mar 05 17:06:13 GMT 2020","Thu Mar 05 17:06:23 GMT 2020","10598","","blaze page elements actions","","blaze page elements actions","verify main header text","verify main header text",""
"passed","Mon May 04 01:51:16 BST 2020","Mon May 04 01:51:17 BST 2020","835","","blaze page elements actions","","blaze page elements actions","check page url","check page url",""
"skipped","Mon May 04 01:51:50 BST 2020","Mon May 04 01:51:50 BST 2020","0","","scroll to element","","scroll to element","should scroll to forgot pwd link, move and click","should scroll to forgot pwd link, move and click",""
"passed","Mon May 04 01:50:07 BST 2020","Mon May 04 01:50:11 BST 2020","3318","","page actions Features","","page actions Features","KEYS action perform F1","KEYS action perform F1",""
"passed","Mon May 04 01:51:09 BST 2020","Mon May 04 01:51:13 BST 2020","4613","","drop down handling","","drop down handling","get all the values from dropdown","get all the values from dropdown",""
"broken","Thu Mar 05 17:06:23 GMT 2020","Thu Mar 05 17:06:34 GMT 2020","10597","","blaze page elements actions","","blaze page elements actions","click on product link","click on product link",""
"passed","Mon May 04 01:50:15 BST 2020","Mon May 04 01:50:15 BST 2020","15","","blaze page elements handle on the page","","blaze page elements handle on the page","main heading enabled? ","main heading enabled? ",""
"broken","Mon May 04 01:52:00 BST 2020","Mon May 04 01:52:16 BST 2020","15783","","wait for delete button using waitFotExist","","wait for delete button using waitFotExist","should wait for preview button","should wait for preview button",""
"broken","Mon May 04 01:50:39 BST 2020","Mon May 04 01:50:49 BST 2020","10364","","handling checkboxes","","handling checkboxes","check checkbox page header","check checkbox page header",""
